,Title,Skill,Company,Location,Salary,Link
151,newiOS Application Developer,C++,Anant Softtech Private Limited,"Hyderabad, Telangana•Remote","₹3,00,000 - ₹5,00,000 a year",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5pjQbJ1EhBdlIzUXxCHGzzhjQi7Djr5KXVw8h6tX1y1UC2y4o6MgjIhjp0ML6c5ucA8ows6P11PUu2DvN3j4BK3kM-34MFpXgWMzuMCGV0ywGwfDK0i7-OQwIHkvMwhg1dBI1Wi_mbpzaUdk1yUTklA4Z62UEIo0-BInOB-ZcBrmNDlTb3kXqSE1RbxZzsahZFlI5xvjidO3LdgiwkM_7iQgGGLmRmY2YF2ifRrY2dBlo_l5Kubix0vw8jD9Cyvt1pR0ZxFBlULK2iiC70OM6HtxeVcGqbzCfA9EeK79RYTT4lul_Ya8zD4JETo6gLzfD_K8lPGmPza_x4de9b2-UZYmoxdky46UAQJX84U1XgRJq5YSNpFA-J-jkidayt85vuuGpt2tOInO4gS2F0FLM7muh44retnxSbuKXLTWa7qG2xlGTF5aFcKbJoRkcK_QKE-htq03qSZk0_Qlh1HWO&p=1&fvj=1&vjs=3
152,newEngineer II / Senior Engineer – ML Frameworks,C++,BLAIZE,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=0b22f69f7c6f89b9&fccid=d8179ca76a23a06d&vjs=3
153,Back Office Co-ordinator,C++,HIMACHAL C & F AGENCY PVT.LTD,"Kolkata, West Bengal","₹12,000 - ₹15,000 a month",in.indeed.com/company/HIMACHAL-C-&-F-AGENCY-PVT.LTD/jobs/Back-Office-Ordinator-5aa3616a62f0a45a?fccid=768b8489c76ba6b4&vjs=3
154,KGS - Life Sciences - C - BLR - US,C++,KPMG,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=4788da8179f26299&fccid=2dd390c3a48a7ed0&vjs=3
155,newBusiness Analyst I,C++,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=dec81d93695ca9fb&fccid=aaf3b433897ea465&vjs=3
156,C++ Software Engineer,C++,Connecticus Technologies Pvt Ltd,"Pune, Maharashtra•Temporarily Remote","₹50,000 - ₹1,20,000 a month",in.indeed.com/company/Connecticus-Technologies-Pvt-Ltd/jobs/C++-Software-Engineer-00b9903896681392?fccid=77c1c8bd322bbdea&vjs=3
157,newBluetooth Developer,C++,Digi Upaay Solution Pvt. LTD,"Bengaluru, Karnataka","₹20,00,000 - ₹22,00,000 a year",in.indeed.com/company/Digi-Upaay-Solution-Pvt.-LTD/jobs/Bluetooth-Developer-35695193c33b7eaf?fccid=3aab6b0ed8c17988&vjs=3
158,React Developer Permanent Work From Home!!,C++,Aavatto,"Ahmedabad, Gujarat•Remote",Not Specified,in.indeed.com/company/Aavatto/jobs/React-Developer-Permanent-5840cafe84231a3d?fccid=e0f2fa84a79f797a&vjs=3
159,newWorkplace Technology Solutions Cloud Operations Administrato...,C++,Accenture,"Gurgaon, Haryana",Not Specified,in.indeed.com/rc/clk?jk=cb8e1110b06d7780&fccid=a4e4e2eaf26690c9&vjs=3
160,EXECUTIVE I - ADMINISTRATION,C++,Asian Paints,India,Not Specified,in.indeed.com/rc/clk?jk=6b830f1a0e671498&fccid=23dfc3f4bf14ec8d&vjs=3
161,"newSoftware Principal Engineer - C, C++ and Linux",C++,Dell Technologies,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=6d9e20e62dac48e3&fccid=dd09fe3b43125016&vjs=3
162,Software Developer (C++ ),C++,Siemens,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=7aff63b703522330&fccid=ea6bb53f0b18b8f2&vjs=3
163,newR&D Specialist,C++,NOKIA,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=1bb2c58163233941&fccid=3444e7c94299ba32&vjs=3
164,Accountant I,C++,Petrofac,"Chennai, Tamil Nadu",Not Specified,in.indeed.com/rc/clk?jk=6393e8a7f5b9f5f1&fccid=17a73c628013a669&vjs=3
165,"newSoftware Principal Engineer - C, C++ and Linux",C++,Dell Technologies,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=6d9e20e62dac48e3&fccid=dd09fe3b43125016&vjs=3
166,Software Developer (C++ ),C++,Siemens,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=7aff63b703522330&fccid=ea6bb53f0b18b8f2&vjs=3
167,newR&D Specialist,C++,NOKIA,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=1bb2c58163233941&fccid=3444e7c94299ba32&vjs=3
168,Accountant I,C++,Petrofac,"Chennai, Tamil Nadu",Not Specified,in.indeed.com/rc/clk?jk=6393e8a7f5b9f5f1&fccid=17a73c628013a669&vjs=3
169,new.Net Applications Developer - Automotive,C++,Tech Mahindra,"Pune, Maharashtra•Temporarily Remote","₹12,293 - ₹58,783 a month",in.indeed.com/company/Tech-Mahindra/jobs/Net-Application-Developer-541fb17bb3f9337f?fccid=531a48728d11aeb5&vjs=3
170,newData science,C++,Optymize,"New Delhi, Delhi+7 locations•Remote","₹1,300 an hour",in.indeed.com/company/Optymize/jobs/Data-Science-e1f7045e0e4efe09?fccid=d91817c0621dad10&vjs=3
171,newSoftware Engineer,C++,Verifone,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=605068920bd82754&fccid=493e9d929f91e902&vjs=3
172,newOpenText Documentum Application Lead,C++,Accenture,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=abaf6adbde7f3aac&fccid=a4e4e2eaf26690c9&vjs=3
173,Senior Software Engineer (C/C++/Win32),C++,Qualys,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=08c833c0d0bd61de&fccid=230fd3df850fa242&vjs=3
174,newSr Developer/C/C++/UNIX/LINUX/Cloud Services[ Loc: Pune ],C++,SAP,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=711c72a30481bc7f&fccid=156c7820d1988640&vjs=3
175,IT Testing Officer (IDC),C++,flydubai,India,Not Specified,in.indeed.com/rc/clk?jk=13217f110da4676c&fccid=455410e116e9012a&vjs=3
176,Enterprise Sales Officer B & C,C++,Reliance Jio Infocomm Limited,India,Not Specified,in.indeed.com/rc/clk?jk=53989114b7ecf028&fccid=f63c7e3396139126&vjs=3
177,newArea Collections Manager-SLI,C++,HDFC Bank,"Guwahati, Assam",Not Specified,in.indeed.com/rc/clk?jk=76c5d956b95f90d1&fccid=a6fab41a2a4262c5&vjs=3
178,newSoftware Engineer I,C++,Cadence Design Systems,"Noida, Uttar Pradesh+2 locations",Not Specified,in.indeed.com/rc/clk?jk=51594799cc48cd83&fccid=391006290e845887&vjs=3
179,newIT Trainer,C++,READYBELL Software Services Pvt. Limited,"Salt Lake City, West Bengal","₹20,000 - ₹25,000 a month",in.indeed.com/company/READYBELL-Software-Services-Pvt.-Limited/jobs/IT-Trainer-259e74355e1ff82d?fccid=afdba974fb7c74d8&vjs=3
180,new.NET Azure Developer (Immediate Joining),.NET,Charger Logistics Inc,"Delhi, Delhi•Remote",Not Specified,in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsyhvYFi3H2irsOj65cl6qkrkDRq3BEycnQpskUrt93F9EJnaOqiczlfjFB4aLNxxKlr9cBjmWsqonVkSE0T5HSQvyWLbWtzSAA0fq1fAMMXjR1_6lEDR3J1Grg0zjh_mfPrORMUMv5wIRAOKwVpA0lRfqMRvAVQWqNJRKmEx-Dk53oriszQIYqTmSX78-vs-PDTvHCkDC_rCtp8zAhoJYk1Jb83Laa_9YFTMe44Tu1MCx-9ltKXCV3PEgTHdoxHLnC65KnhbSLZnkz57shSKuKaHvkSeFYu6xsWrwybud_XuS1XPUPboUnBks75LbmsbYY5tFF_Rl4Cm1f3rK_Ns36JlKcv2I5FIv90fizNqZ8TnOaxPfuCY3dYyeOxcKdz-ZEl0yKi32_EJtbPgqwzueDtgAUKOfHIX9eZHNUFqH98Bxae3_0ju5UPLznZXNvAUy9WpIhOd9lmhgaNmDoB1POMqdlMcpC-uYlS29Cb4vBA==&p=0&fvj=1&vjs=3
181,newJr .Net Developer,.NET,Macersoft Technologies LLP,Remote,"₹4,00,000 - ₹9,00,000 a year",in.indeed.com/company/Macersoft-Technologies-LLP/jobs/Junior-Net-Developer-26afff0fdb54ff0a?fccid=86239e2024139ac1&vjs=3
182,newSoftware Developer,.NET,Xiphos Technology Solutions Private Limited,"Kolkata, West Bengal","₹21,500 - ₹40,000 a month",in.indeed.com/company/Xiphos-Technology-Solutions-Private-Limited/jobs/Software-Developer-7e15883e8b2f3799?fccid=c6cb33a4dda2164b&vjs=3
183,Full Stack Developer(.NET) - HYD,.NET,Deloitte,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=ffdacdb296b74ca4&fccid=9e215d88a6b33622&vjs=3
184,Senior .NET Developer,.NET,JVM Tech Solutions,"Bengaluru, Karnataka•Remote","₹30,542 - ₹1,17,491 a month",in.indeed.com/company/JVM-Tech-Solutions/jobs/Senior-Net-Developer-d60b910884553642?fccid=675f83e68b356419&vjs=3
185,"Full-stack Developer - .NET, Upland (Remote) - $30,000/year...",.NET,Crossover,"Mumbai, Maharashtra•Remote","₹1,75,000 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zElYaqgGHyM4XUtM4Jk-pLsWQeZ8I1AtdDjBGG4VEZgMd2SLyzU-ELMjVJKCOWElR9BzsmbHSSdPmwjWawXAF4yUKj_0AnVeF45SC_ODDdpDIz-o-HzzsZegXe3GRhHZcMSKR28mQER2AP9_RhfxMRYT2dc04QSBy0KBuDipVkYRDjCI8h5D1eIOf8L3qfh3EK7v7AIMt_EO-Hgtm29kPaC6-ezehvU2FDz_rkFKn_hxR2rkagfdoRqpxCgzovBonfo8vr6ItBfTuU9hocp50knZ8EHDA3uWPcTjU-yB2YyNcrUr1D1sHT6ntiIok7_o6xf-jOM7t30_34OLbo7UowVi6ryXnvuqjIkTGxC0iR0xMbbREewDLmnKkTi0K0eu4DKGZaTskU4X-MKeZvKbfbKD5cHaE9q1VlqW7KR1aBMSw2xH5IWwU9llLhCvfzpQWazJXViAyE_TUA0UySAwdozmBqJlD-mTpNzXzEUmCl2WvProDre7z0h9Vtx43_ntMCJY1KSpzv0GjQNC5626N-p3p_oeXjWeVdfuG8guKYwITnSI66Bhk69Qftox3k5hd-rq8e6T0ZDCvPopDttdFPLM=&p=5&fvj=0&vjs=3
186,newSoftware Engineering - .Net Full Stack,.NET,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=608c4e1052445f4f&fccid=aaf3b433897ea465&vjs=3
187,newAngular .net developer,.NET,ECode Dash,Remote,"₹50,000 - ₹80,000 a month",in.indeed.com/company/ECode-Dash/jobs/Angular-Net-Developer-cb5784ae75be6d7a?fccid=5949ab200a9a3d4c&vjs=3
188,.NET / Umbraco Developer,.NET,Fluidlabs UK,Remote,"₹60,000 - ₹1,00,000 a month",in.indeed.com/company/Fluidlabs-UK/jobs/Net-78344c4d3208d3d8?fccid=4445dc8df36a999f&vjs=3
189,ASP.NET Developer Fresher,.NET,Impact IT PVT LTD,"Kolkata, West Bengal","₹10,000 - ₹30,000 a month",in.indeed.com/company/Impact-IT-PVT-LTD/jobs/ASP-Net-Developer-Fresher-60055422675147b5?fccid=e626a9e94f11f853&vjs=3
190,".NET Developer, Upland (Remote) - $60,000/year USD",.NET,Crossover,"Hyderabad, Telangana•Remote","₹3,50,000 a month",in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bp-pWyh_yd7-BMq_HjiKF8q-wDEEHI6K3EhZcTze0zElYaqgGHyM4XM9suorwIZQOWFDagynh54iR6Q2UKAYs44FeljIutsqv-FSUm30LsbuZMKS5I-Y_ZsSjBuSaryX5u6aNnLDDAZ85L9AU24mIfbAEWyVE-LzNsvpO4nE89A-GZpJHPjCnFbgQmnnnBc_qyll-aLs77Kma4uOILzkjHeO9Zqar2pBqzxk3PGho7FB5Pu43Icl0HGLxZz0FWHwv9eucw1k0n5qAalSx69WtDxqRWdI1_tK1VGYMcp1XEfBIKbgghR21TIhcVbBCRhSSm-p5srZySvlg29AVBHSSAlGYpGL23sM3ntk9jPGJ9HDbxEKNOeMa_3bo75ZZPRmN4j97LDauJgfUM8TE5-5iONvhpQXPkn2IPGWSBARsazlcj2d3n_KjTx6Wrb5RYs8NxTlIPASfG_5ZnF5vz_Vfe_O_6A5_X6Cy1vYwmue21xR5vQ1LsECg61yU1CVNz0srCG-s2qdvDYcat8mvxPgfgApF0cds_33azRtzk-DzgLEKzXwkORgua3omjz9Os3KoQvSyOL3AbjqMWpQoCNrqU_StCUNc0tel9RwFBq7E88-nkNlg2ClPegmKqK24sK_0=&p=10&fvj=0&vjs=3
191,Parttime / FreeLancer Net Developer,.NET,Igsrs,"Mumbai, Maharashtra•Remote","₹12,161 - ₹57,710 a month",in.indeed.com/company/Igsrs/jobs/Parttime-55bdb9a79cdfb5e0?fccid=1868b68c89baec99&vjs=3
192,.NET,.NET,Bose Consulting,"Kolkata, West Bengal","₹8,000 - ₹12,000 a month",in.indeed.com/company/Bose-Consulting/jobs/Net-f92033f9704284f1?fccid=99eb7162fff1ad15&vjs=3
193,newSoftware Developer (Asp.net),.NET,Bitplus Solutions LLP,"Ahmedabad, Gujarat•Remote","₹40,000 - ₹90,000 a month",in.indeed.com/company/Bitplus-Solutions-LLP/jobs/Software-Developer-3b5f7e98309cba4b?fccid=05e9286174306c8b&vjs=3
194,ASP.NET Developer,.NET,Laqshya Infosoft Solutions,"Mumbai, Maharashtra•Temporarily Remote","₹45,000 - ₹50,000 a month",in.indeed.com/company/Laqshya-Infosoft-Solutions/jobs/ASP-Net-Developer-553197d6c92ce98d?fccid=8df2fe3999097e29&vjs=3
195,new.Net Applications Developer - Automotive,.NET,Tech Mahindra,"Pune, Maharashtra•Temporarily Remote","₹12,293 - ₹58,783 a month",in.indeed.com/company/Tech-Mahindra/jobs/Net-Application-Developer-541fb17bb3f9337f?fccid=531a48728d11aeb5&vjs=3
196,.Net Jr Prog,.NET,CGI Inc,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=c1991a7c4da5aa2d&fccid=43a69183767d4301&vjs=3
197,Senior .Net Developer,.NET,AAPNA Infotech,Remote,"₹10,00,000 - ₹15,00,000 a year",in.indeed.com/company/AAPNA-Infotech/jobs/Senior-Net-Developer-2cd54a749b9958a4?fccid=01caa7f20855c379&vjs=3
198,Net Developer,.NET,Onpar Labs,"Bengaluru, Karnataka•Remote","₹70,000 - ₹1,00,000 a month",in.indeed.com/company/Onpar-Labs/jobs/Net-Developer-b2cf5c779f6c5d0e?fccid=32444f98be2b70d8&vjs=3
199,Software Engineer -.NET (Pune/Remote),.NET,MINDBODY,"Pune, Maharashtra•Remote",Not Specified,in.indeed.com/rc/clk?jk=2133bb4d88165abd&fccid=7cb69e5f0f9f3d0d&vjs=3
200,newDot Net Developer,.NET,Fortuna Impex Pvt. Ltd,"Kolkata, West Bengal","₹12,000 - ₹22,000 a month",in.indeed.com/company/Fortuna-Impex-Pvt.-Ltd/jobs/Dot-Net-Developer-aa631133736676bb?fccid=c4c22c61eda911ca&vjs=3
201,newDot Net Developer,.NET,ConvergeSol International Pvt Ltd,"Ahmedabad, Gujarat•Remote","₹4,00,000 - ₹20,00,000 a year",in.indeed.com/company/ConvergeSol-International-Pvt-Ltd/jobs/Dot-Net-Developer-b8da84a81009bff9?fccid=a6fbb387f00791d2&vjs=3
202,newNet Developer,.NET,Mobile Programming India Pvt Ltd,"Pune, Maharashtra•Remote","₹6,00,000 - ₹13,00,000 a year",in.indeed.com/company/Mobile-Programming-India-Pvt-Ltd/jobs/Net-Developer-2d5aac91d5399900?fccid=8e9735a1bc656e6e&vjs=3
203,Junior ASP.NET Developers,.NET,Intellect Software Solutions,"Mumbai, Maharashtra•Remote","₹18,000 - ₹40,000 a month",in.indeed.com/company/Intellect-Software-Solutions/jobs/Junior-ASP-Net-Developer-5f34cec172bde300?fccid=cba1bbfb3a075f7a&vjs=3
204,newSoftware Engineer - .Net,.NET,Société Générale,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=e8ca514d7a429b3f&fccid=df6948c9b8da6236&vjs=3
205,Digital Solutions : Senior Core .Net Developer,.NET,TELUS International,"Noida, Uttar Pradesh•Remote",Not Specified,in.indeed.com/rc/clk?jk=781dd659af466bce&fccid=1a93caa31afcad42&vjs=3
206,newNet Developer,.NET,thinkbridge,"Pune, Maharashtra•Remote","₹30,000 a month",in.indeed.com/company/thinkbridge/jobs/Net-Developer-d0de1ca8ec692784?fccid=3a9970683521c440&vjs=3
207,newSoftware Engineer,.NET,Actics Technologies Pvt Ltd,"Bengaluru, Karnataka+2 locations","₹6,00,000 - ₹7,00,000 a year",in.indeed.com/company/Actics-Technologies-Pvt-Ltd/jobs/Software-Engineer-5d0608a75ec33dd5?fccid=2369c6fb4355ce81&vjs=3
208,newASP.Net MVC Developer - Kolkata,.NET,Indus Net Technologies Pvt Ltd,"Kolkata, West Bengal",Not Specified,in.indeed.com/company/Indus-Net-Technologies-Pvt-Ltd/jobs/ASP-Net-Mvc-Developer-9bdc040655cf359f?fccid=b5712e2e2095c20e&vjs=3
209,newASP.NET Developer,.NET,Kritofox,"Chennai, Tamil Nadu•Remote","₹1,00,000 - ₹3,00,000 a year",in.indeed.com/company/Kritofox/jobs/ASP-Net-Developer-03018a1f929a0bb5?fccid=a71173babcdc99b9&vjs=3
210,.NET full stack,.NET,KPMG,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=289e91c478701a66&fccid=2dd390c3a48a7ed0&vjs=3
211,newASP.NET Developer(1-3yrs),.NET,All e Technologies,"Noida, Uttar Pradesh•Remote","₹3,00,000 - ₹5,00,000 a year",in.indeed.com/company/All-e-Technologies/jobs/ASP-Net-Developer-26c461df7caddf1a?fccid=00aa22e7b6ea2143&vjs=3
212,Junior Software Developer (Fresher),.NET,IN91228901,"Kolkata, West Bengal","₹8,000 a month",in.indeed.com/company/IN91228901/jobs/Junior-Software-Developer-45d440964d869925?fccid=e2b054efbba9aada&vjs=3
213,newImmediate Joining Net Developer (1-2 Year ),.NET,Igsrs,"Mumbai, Maharashtra","₹12,293 - ₹25,000 a month",in.indeed.com/company/Igsrs/jobs/Joining-Net-Developer-d8d434cb06208a22?fccid=1868b68c89baec99&vjs=3
214,new.Net Developer,.NET,Fervour Infosystem Pvt Ltd,"New Delhi, Delhi+1 location","₹8,00,000 a year",in.indeed.com/company/Fervour-Infosystem-Pvt-Ltd/jobs/Net-Developer-1cda860589366902?fccid=099b4832589a6724&vjs=3
215,new.Net Developer,.NET,Expedite Informatics,"Pune, Maharashtra","₹20,000 - ₹50,000 a month",in.indeed.com/company/Expedite-Informatics/jobs/Net-Developer-3faf7bfe84b87561?fccid=a696de117d31bb26&vjs=3
216,C# / .NET Full stack Developer,.NET,Morgan Stanley,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=a783d88f5a0598ca&fccid=0c39fb2c91742dcf&vjs=3
217,.Net Developer,.NET,Infosys Limited,"Hyderabad, Telangana+3 locations",Not Specified,in.indeed.com/rc/clk?jk=8d821761da9fbcfa&fccid=c67533a523c83a4c&vjs=3
218,"Software developer - .Net, ReactJs Full stack",.NET,Siemens,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=1e1641632fb67fed&fccid=ea6bb53f0b18b8f2&vjs=3
219,Software /Senior Software Engineer/ Team Lead - ASP.Net/ C#/...,.NET,Easy Solutions,"Bengaluru, Karnataka•Remote","₹4,13,367 - ₹16,44,909 a year",in.indeed.com/company/Easy-Solutions/jobs/Software-023d5f06b23965e0?fccid=6e3c41ed99d9238e&vjs=3
220,newSoftware Engineering - .Net Fullstack,.NET,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=d3508c88854cf984&fccid=aaf3b433897ea465&vjs=3
221,Urgent vacancy on .Net Developer (Immediate joiners/1 month),.NET,Acyuta Technologies Pvt Ltd,"Mumbai, Maharashtra•Temporarily Remote","₹14,000 - ₹56,168 a month",in.indeed.com/company/Acyuta-Technologies-Pvt-Ltd/jobs/Net-Developer-4bdf892fd09da71b?fccid=7797bf7abbe739a8&vjs=3
222,new.Net Developer,.NET,Walmart Global Tech India,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=6151e414de571153&fccid=0d167dde0758739a&vjs=3
223,C#.Net Developer,.NET,Morgan Stanley,"Mumbai, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=e28b74cb6f492d71&fccid=0c39fb2c91742dcf&vjs=3
224,We have an Urgent Opening For Sr ASP.Net Developer,.NET,Karmick Solutions Pvt Ltd,"Kolkata, West Bengal",Not Specified,in.indeed.com/rc/clk?jk=9c7cf028f056b523&fccid=c0a7e9b0a6b72cf3&vjs=3
225,new.Net Developer,.NET,Walmart Global Tech India,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=6151e414de571153&fccid=0d167dde0758739a&vjs=3
226,C#.Net Developer,.NET,Morgan Stanley,"Mumbai, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=e28b74cb6f492d71&fccid=0c39fb2c91742dcf&vjs=3
227,We have an Urgent Opening For Sr ASP.Net Developer,.NET,Karmick Solutions Pvt Ltd,"Kolkata, West Bengal",Not Specified,in.indeed.com/rc/clk?jk=9c7cf028f056b523&fccid=c0a7e9b0a6b72cf3&vjs=3
228,new.NET Sitecore Developer - Permanent WFH,.NET,Successr hr tech pvt ltd,"Hyderabad, Telangana•Remote",Not Specified,in.indeed.com/company/Successr-hr-tech-pvt-ltd/jobs/Net-Sitecore-Developer-b2ed351b0f9dc3ee?fccid=98de522c37d6232c&vjs=3
229,Freelance Remote .Net Developer - ASP/MVC,.NET,Touchstone Tie-Up Pvt. Ltd.,"Kolkata, West Bengal•Remote","₹20,000 - ₹40,000 a month",in.indeed.com/company/Touchstone-Tie--Up-Pvt.-Ltd./jobs/Freelance-Remote-Net-Developer-c8d67ee2cbb3ca74?fccid=f7fe960f22655345&vjs=3
230,newNet Developer,.NET,Ampsys Consulting pvt Ltd,"Bengaluru, Karnataka",Not Specified,in.indeed.com/company/Ampsys-Consulting-pvt-Ltd/jobs/Net-Developer-0526c95fbe4af57b?fccid=6a8aa06093caacba&vjs=3
231,newSoftware Developer,.NET,CCLMS MANAGEMENT COLLEGE,"Contai, West Bengal","₹18,924 - ₹27,541 a month",in.indeed.com/company/CCLMS-MANAGEMENT-COLLEGE/jobs/Software-Developer-df7385b1d5bd1222?fccid=624628cdb1c91f5a&vjs=3
232,Java/.net Developer,.NET,Light House IOT Solutions,"Noida, Uttar Pradesh","₹2,50,000 - ₹5,00,000 a year",in.indeed.com/company/Light-House-IOT-Solutions/jobs/Java-Net-Developer-dd41c0273c5cc115?fccid=5909fe40d0b4a1e4&vjs=3
233,newASP.NET MVC Developer,.NET,Odaninfotech LLP,"Surat, Gujarat•Remote","₹50,000 a month",in.indeed.com/company/Odaninfotech-LLP/jobs/ASP-Net-Mvc-Developer-8fafb0482c23b582?fccid=b5e217e189507340&vjs=3
234,new.Net Developer,.NET,HealthAsyst,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=1ee95083af7e500d&fccid=28de533174d7306c&vjs=3
235,Dot Net Developer,.NET,AAPNA Infotech,Remote,"₹6,00,000 - ₹9,00,000 a year",in.indeed.com/company/AAPNA-Infotech/jobs/Dot-Net-Developer-bdef9d35f5cb6f53?fccid=01caa7f20855c379&vjs=3
236,Junior .Net Developer,.NET,Captiv Techno Solutions Private Limited,"Chennai, Tamil Nadu•Remote","₹15,000 - ₹25,000 a month",in.indeed.com/company/Captiv-Techno-Solutions-Private-Limited/jobs/Junior-Net-Developer-d654baf7cbdb7e39?fccid=2884d43321f7cd41&vjs=3
237,.Net angular Full stack,.NET,Appomate,"Chennai, Tamil Nadu•Remote","₹1,00,000 - ₹2,00,000 a month",in.indeed.com/company/Appomate/jobs/Net-Angular-Full-Stack-370c3469033e5ecd?fccid=9c625dab86b2d6e8&vjs=3
238,newSoftware Engineer-Dot Net,.NET,Baker Hughes,"Mumbai, Maharashtra+1 location",Not Specified,in.indeed.com/rc/clk?jk=9362f6b3f696e471&fccid=f4c6ba597fc7aa75&vjs=3
239,C#.NET and Java Script and Bootstrap,.NET,Cybertech Systems and Software Ltd,"Thane, Maharashtra•Remote","₹1,00,000 a month",in.indeed.com/company/Cybertech-Systems-and-Software-Ltd/jobs/Csharp-Net-Java-Script-Bootstrap-59c11ab7473a0267?fccid=ebe01455e2273f56&vjs=3
240,newAngular Developer,Angular,Oremda Infotech Inc,Remote,"₹1,50,000 a month",in.indeed.com/company/Oremda-Infotech-Inc/jobs/Angular-Developer-e482568ed76a424b?fccid=0327f4ce46f01128&vjs=3
241,newAngular,Angular,Accenture,"Noida, Uttar Pradesh+1 location",Not Specified,in.indeed.com/rc/clk?jk=efd88f03a28c77b3&fccid=a4e4e2eaf26690c9&vjs=3
242,newFull Stack Engineer,Angular,Somosotech IT Co Limited,Temporarily Remote,"₹9,12,000 - ₹40,52,000 a year",in.indeed.com/company/Somosotech-IT-Co-Limited/jobs/Full-Stack-Engineer-99acca722ce54583?fccid=9f270b4ac4973530&vjs=3
243,Full Stack Developer - Angular,Angular,Deloitte,"Bengaluru, Karnataka",Not Specified,in.indeed.com/rc/clk?jk=974ba2a80c877d5c&fccid=9e215d88a6b33622&vjs=3
244,newAngular Web Developer,Angular,SynergyWorks Solutions,"Chandigarh, Chandigarh•Remote","₹30,000 - ₹55,000 a month",in.indeed.com/company/SynergyWorks-Solutions/jobs/Angular-Web-Developer-530c8e3e2bd2d873?fccid=c4da72ab628e3b11&vjs=3
245,newAngular Application Developer,Angular,Accenture,"Bengaluru, Karnataka+5 locations",Not Specified,in.indeed.com/rc/clk?jk=fd599be480d8595e&fccid=a4e4e2eaf26690c9&vjs=3
246,newAngular Developer,Angular,Digi Upaay Solution Pvt. LTD,"Bengaluru, Karnataka","₹12,00,000 - ₹18,00,000 a year",in.indeed.com/company/Digi-Upaay-Solution-Pvt.-LTD/jobs/Angular-Developer-04c8f19ecc1bdf4b?fccid=3aab6b0ed8c17988&vjs=3
247,newAngular Developer,Angular,VARAHI TECHNOLOGIES,"Pune, Maharashtra•Remote","₹10,000 - ₹15,000 a month",in.indeed.com/company/VARAHI-TECHNOLOGIES/jobs/Angular-Developer-3504c6015aced5f5?fccid=4232c239f3ebb300&vjs=3
248,Angular Developer,Angular,Cyient,"Hyderabad, Telangana",Not Specified,in.indeed.com/rc/clk?jk=4e82c40419fe5619&fccid=48337f40cc18bca7&vjs=3
249,Angular Developer,Angular,Matellio Inc.,Remote,"₹3,00,000 - ₹6,00,000 a year",in.indeed.com/company/Matellio-Inc./jobs/Angular-Developer-2c7961081ba6dbce?fccid=0038f898aec4e57d&vjs=3
250,newAngular .net developer,Angular,ECode Dash,Remote,"₹50,000 - ₹80,000 a month",in.indeed.com/company/ECode-Dash/jobs/Angular-Net-Developer-cb5784ae75be6d7a?fccid=5949ab200a9a3d4c&vjs=3
251,Angular Lead,Angular,Infosys Limited,"Pune, Maharashtra",Not Specified,in.indeed.com/rc/clk?jk=819984baf7fef1bb&fccid=c67533a523c83a4c&vjs=3
